date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
6/10/2021,Maharashtra,5876087,12207,4.71217882919006,5608753,11449,95.4504758013283,103748,1915,1.76559673129414,2893,37356704,29.9572606255012,20199896,5066556,16.1987939053729,4.06299599037691
6/11/2021,Maharashtra,5887853,11766,4.72161427425822,5616857,8104,95.3973715036704,106367,2619,1.80654985781744,2925,37611005,30.1611908580593,20404510,5116063,16.3628789093825,4.10269687249399
6/12/2021,Maharashtra,5898550,10697,4.73019246190858,5631767,14910,95.4771426876097,108333,1966,1.8366039111307,2976,37834054,30.3400593424218,20646972,5170756,16.5573151563753,4.14655653568565
6/13/2021,Maharashtra,5908992,10442,4.73856615878108,5639271,7504,95.4354143650897,111104,2771,1.88025301100425,3029,38046590,30.5104971932638,20727966,5181057,16.6222662389735,4.15481716118685
6/14/2021,Maharashtra,5917121,8129,4.74508500400962,5654003,14732,95.5532766695155,112696,1592,1.90457487687002,3068,38215492,30.6459438652767,20995275,5233018,16.8366279069767,4.19648596631917
6/15/2021,Maharashtra,5924773,7652,4.75122133119487,5669179,15176,95.6860119366599,114154,1458,1.92672360611959,3079,38418130,30.808444266239,21198464,5281293,16.9995701684042,4.23519887730553
6/16/2021,Maharashtra,5934880,10107,4.75932638331997,5679746,10567,95.7011093737363,115390,1236,1.9442684603564,3083,38641639,30.9876816359262,21391791,5328026,17.1546038492382,4.27267522052927
6/17/2021,Maharashtra,5944710,9830,4.76720930232558,5685636,5890,95.6419404815374,116026,636,1.95175206191723,3088,38857644,31.1609013632718,21551329,5372219,17.2825412991179,4.30811467522053
6/18/2021,Maharashtra,5954508,9798,4.77506655974338,5699983,14347,95.7255074642607,116674,648,1.95942301194322,3104,39078541,31.338044105854,21737241,5412382,17.4316287089014,4.34032237369687
6/19/2021,Maharashtra,5963420,8912,4.78221331194868,5710356,10373,95.7563948204218,117356,682,1.96793115359978,3111,39312920,31.5259983961508,22099860,5476317,17.7224218123496,4.39159342421812
6/20/2021,Maharashtra,5972781,9361,4.78972012830794,5719457,9101,95.7586926425061,117961,605,1.97497614595278,3122,39514858,31.6879374498797,22216217,5483182,17.8157313552526,4.39709863672815
6/21/2021,Maharashtra,5979051,6270,4.79474819566961,5733215,13758,95.8883776037368,118313,352,1.978792286602,3125,39669693,31.8121034482759,22548801,5534119,18.0824386527666,4.43794627105052
6/22/2021,Maharashtra,5987521,8470,4.80154049719326,5742258,9043,95.9037638448366,118795,482,1.98404314573594,3128,39886554,31.9860096230954,23036805,5608738,18.473781074579,4.49778508420209
6/23/2021,Maharashtra,5997587,10066,4.80961267040898,5753290,11032,95.9267452060304,119303,508,1.98918331655714,3135,40128355,32.179915797915,23620724,5671918,18.942040096231,4.54845068163593
6/24/2021,Maharashtra,6007431,9844,4.81750681635926,5762661,9371,95.9255462110177,119859,556,1.99517897084461,3144,40360931,32.3664242181235,23993590,5730047,19.241050521251,4.59506575781877
6/25/2021,Maharashtra,6017035,9604,4.82520850040096,5772799,10138,95.9409243921633,120370,511,2.00048695079886,3151,40596965,32.5557056936648,24457024,5827552,19.6126896551724,4.67325741780273
6/26/2021,Maharashtra,6026847,9812,4.83307698476343,5781551,8752,95.9299447953466,120881,511,2.00570878935536,3164,40831332,32.7436503608661,25047327,5985707,20.0860681635926,4.80008580593424
6/27/2021,Maharashtra,6036821,9974,4.84107538091419,5790113,8562,95.9132795224507,121286,405,2.00910379817457,3170,41042198,32.9127489975942,25145226,6014297,20.1645757818765,4.82301283079391
6/28/2021,Maharashtra,6043548,6727,4.84646992782678,5800925,10812,95.9854211466509,121573,287,2.01161635516091,3176,41208361,33.0459991980754,25598933,6183394,20.5284145950281,4.95861587810746
6/29/2021,Maharashtra,6051633,8085,4.85295348837209,5809548,8623,95.9996747985213,121804,231,2.01274598112609,3183,41398501,33.1984771451484,25884142,6294973,20.7571307137129,5.04809382518043
6/30/2021,Maharashtra,6061404,9771,4.86078909382518,5819901,10353,96.0157250696373,121945,141,2.01182762277519,3194,41637950,33.3904971932638,26067919,6371846,20.9045060144346,5.10974017642342
7/1/2021,Maharashtra,6070599,9195,4.86816279069767,5828535,8634,96.0125186987314,122197,252,2.01293150807688,3200,41875217,33.5807674418605,26252955,6468296,21.0528909382518,5.18708580593424
