date,state,confirmed,new conf,% of conf,% of new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
6/13/2021,Tamil Nadu,2353721,14016,7.85410442952588,0.046769828575364,2.98695558375634,2174247,25895,92.3748821546819,29547,267,1.2553314517736,0,29968038,38.0305050761421,8691807,2151121,11.030211928934,2.72984898477157
6/14/2021,Tamil Nadu,2366493,12772,7.85211332798067,0.042377979324245,3.00316370558376,2199808,25561,92.9564549736678,29801,254,1.25928959012344,0,30138294,38.2465659898477,8964448,2167332,11.3762030456853,2.75042131979695
6/15/2021,Tamil Nadu,2378298,11805,7.84677155542094,0.038948499393997,3.01814467005076,2223015,23207,93.4708350257201,30068,267,1.2642654536984,0,30309255,38.4635215736041,9086953,2177116,11.5316662436548,2.76283756345178
6/16/2021,Tamil Nadu,2388746,10448,7.83700575518515,0.03427783285882,3.03140355329949,2244073,21058,93.9435586705326,30338,270,1.2700387567368,0,30480340,38.6806345177665,9419536,2197541,11.9537258883249,2.7887576142132
6/17/2021,Tamil Nadu,2397864,9118,7.82200823021104,0.029743584725015,3.04297461928934,2266793,22720,94.5338434540074,30548,210,1.27396716410939,0,30655350,38.9027284263959,9681761,2216577,12.2864987309645,2.81291497461929
6/18/2021,Tamil Nadu,2406497,8633,7.80680835638694,0.028005925850183,3.05393020304569,2286653,19860,95.0199813255533,30835,287,1.28132301847873,0,30825619,39.1188058375634,9872488,2231555,12.528538071066,2.83192258883249
6/19/2021,Tamil Nadu,2414680,8183,7.79009496400241,0.026399501006523,3.06431472081218,2304885,18232,95.4530206901121,31015,180,1.2844352046648,0,30996798,39.336038071066,10222636,2253051,12.9728883248731,2.85920177664975
6/20/2021,Tamil Nadu,2422497,7817,7.77205074691826,0.025079131445224,3.0742347715736,2321928,17043,95.8485397505136,31197,182,1.28780345238818,0,31169341,39.5550012690355,10416075,2264046,13.2183692893401,2.87315482233503
6/21/2021,Tamil Nadu,2429924,7427,7.7533616181408,0.023697949704572,3.08365989847716,2337209,15281,96.1844485671157,31386,189,1.29164533540967,0,31340264,39.7719086294416,10787914,2290247,13.6902461928934,2.90640482233503
6/22/2021,Tamil Nadu,2436819,6895,7.7345487263407,0.021884971131676,3.09240989847716,2348353,11144,96.3696113662935,31580,194,1.29595181258846,0,31505639,39.9817753807107,11064602,2311335,14.0413730964467,2.93316624365482
6/23/2021,Tamil Nadu,2443415,6596,7.71383617698135,0.020823504571826,3.10078045685279,2358785,10432,96.5364049905562,31746,166,1.29924716022452,0,31675744,40.1976446700508,11257029,2334154,14.2855697969543,2.96212436548223
6/24/2021,Tamil Nadu,2449577,6162,7.69193909180571,0.019349352432566,3.10860025380711,2367831,9046,96.6628524026801,31901,155,1.30230647985346,0,31846027,40.4137398477157,11613983,2374498,14.738557106599,3.01332233502538
6/25/2021,Tamil Nadu,2455332,5755,7.66880393829006,0.01797474503035,3.11590355329949,2375963,8132,96.7674839899452,32051,150,1.30536318510083,0,32017144,40.6308934010152,12060839,2422366,15.305633248731,3.07406852791878
6/26/2021,Tamil Nadu,2460747,5415,7.64489505394027,0.0168229837188,3.12277538071066,2383624,7661,96.8658704043935,32199,148,1.30850510028052,0,32188107,40.8478515228426,12423144,2470145,15.7654111675127,3.13470177664975
6/27/2021,Tamil Nadu,2465874,5127,7.62146990617324,0.015846420461447,3.12928172588832,2390783,7159,96.9547916884642,32290,91,1.30947485556845,0,32354310,41.058769035533,12536293,2486780,15.9090012690355,3.15581218274112
6/28/2021,Tamil Nadu,2470678,4804,7.59853121024456,0.014774626209492,3.13537817258883,2397336,6553,97.0315030934829,32388,98,1.31089522794958,0,32515205,41.2629505076142,12718488,2514570,16.1402131979695,3.19107868020305
6/29/2021,Tamil Nadu,2475190,4512,7.5750342120433,0.013808456871892,3.14110406091371,2403349,6013,97.0975561472049,32506,118,1.31327292046267,0,32675628,41.4665329949239,12966132,2546796,16.4544822335025,3.23197461928934
6/30/2021,Tamil Nadu,2479696,4506,7.55124283419488,0.013721803080249,3.14682233502538,2408886,5537,97.1444080242094,32619,113,1.31544350597815,0,32838250,41.6729060913706,13073449,2569324,16.590671319797,3.26056345177665
7/1/2021,Tamil Nadu,2484177,4481,7.52737478419427,0.013578004469076,3.15250888324873,2413930,5044,97.1722224302053,32721,102,1.31717667460893,0,33001904,41.8805888324873,13262371,2599021,16.8304200507614,3.29825
7/2/2021,Tamil Nadu,2488407,4230,7.50362892494263,0.012755288967001,3.1578769035533,2418882,4952,97.2060438666183,32818,97,1.31883570493091,0,33162714,42.0846624365482,13526547,2648165,17.1656687817259,3.3606154822335
7/3/2021,Tamil Nadu,2492420,4013,7.47959931948316,0.012042766495649,3.16296954314721,2423606,4724,97.2390688567737,32933,115,1.32132626122403,0,33322908,42.2879543147208,13926336,2714557,17.6730152284264,3.4448692893401
7/4/2021,Tamil Nadu,2496287,3867,7.45589869554396,0.011549938070289,3.1678769035533,2427988,4382,97.2639764578352,33005,72,1.32216367749381,0,33480699,42.4881967005076,14015593,2732378,17.7862855329949,3.4674847715736
7/5/2021,Tamil Nadu,2500002,3715,7.43250326212307,0.011044691011762,3.17259137055838,2432017,4029,97.2806021755183,33059,54,1.32235894211285,0,33636070,42.6853680203046,14154348,2767357,17.9623705583756,3.51187436548223
7/6/2021,Tamil Nadu,2503481,3479,7.40905891955657,0.010296110088767,3.17700634517766,2435872,3855,97.2994003150014,33132,73,1.3234372459787,0,33789460,42.8800253807107,14225382,2792816,18.0525152284264,3.54418274111675
