date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
6/12/2021,Uttar Pradesh,1702172,504,0.706295435684647,1670631,1757,98.1470145202718,21735,68,1.27689798680744,0,53055495,22.0147282157676,19141183,3794632,7.94239958506224,1.57453609958506
6/13/2021,Uttar Pradesh,1702624,452,0.706482987551867,1671852,1221,98.1926720168399,21786,51,1.27955438194223,0,53345463,22.1350468879668,19160094,3795916,7.95024647302905,1.57506887966805
6/14/2021,Uttar Pradesh,1702937,313,0.706612863070539,1672968,1116,98.2401580328574,21858,72,1.2835471893558,0,53602870,22.2418547717842,19576091,3836897,8.12285933609959,1.5920734439834
6/15/2021,Uttar Pradesh,1703207,270,0.70672489626556,1674072,1104,98.2894034606481,21914,56,1.28663163080001,0,53859954,22.3485286307054,19953946,3875540,8.27964564315353,1.60810788381743
6/16/2021,Uttar Pradesh,1703458,251,0.706829045643153,1674999,927,98.329339496483,21963,49,1.28931855085362,0,54145947,22.4671979253112,20292946,3910074,8.42030954356846,1.62243734439834
6/17/2021,Uttar Pradesh,1703733,275,0.706943153526971,1675684,685,98.3536739618238,22030,67,1.29304298267393,0,54436119,22.5876012448133,20667368,3947686,8.57567136929461,1.63804398340249
6/18/2021,Uttar Pradesh,1703882,149,0.707004979253112,1676458,774,98.3904988725745,22081,51,1.29592307448521,0,54727119,22.7083481327801,21096533,3986514,8.75374813278008,1.65415518672199
6/19/2021,Uttar Pradesh,1704139,257,0.707111618257261,1677050,592,98.4103996211577,22132,51,1.2987203508634,0,55000515,22.8217904564315,21550317,4022263,8.94204024896266,1.6689887966805
6/20/2021,Uttar Pradesh,1704358,219,0.707202489626556,1677611,561,98.4306700822245,22178,46,1.30125243640127,0,55264433,22.9313,21569948,4023450,8.95018589211618,1.66948132780083
6/21/2021,Uttar Pradesh,1704476,118,0.707251452282158,1678089,478,98.4518995867352,22224,46,1.30386112799476,0,55486198,23.0233186721992,22260842,4061935,9.23686390041494,1.68545020746888
6/22/2021,Uttar Pradesh,1704678,202,0.707335269709543,1678486,397,98.4635221431848,22282,58,1.30710902586882,0,55730488,23.1246838174274,23083768,4101579,9.57832697095436,1.7019
6/23/2021,Uttar Pradesh,1704790,112,0.707381742738589,1678788,302,98.4747681532623,22336,54,1.31019069797453,0,55999840,23.2364481327801,23877037,4140430,9.90748423236515,1.71802074688797
6/24/2021,Uttar Pradesh,1705014,224,0.707474688796681,1679096,308,98.4798951797463,22366,30,1.31177808510663,0,56271231,23.3490585062241,24730651,4191954,10.2616809128631,1.7394
6/25/2021,Uttar Pradesh,1705220,206,0.707560165975104,1679416,320,98.486764171192,22381,15,1.31249926695676,0,56540503,23.460789626556,25607271,4258859,10.6254236514523,1.76716141078838
6/26/2021,Uttar Pradesh,1705384,164,0.707628215767635,1679744,328,98.496526295544,22443,62,1.3160085939589,0,56807529,23.5715887966805,26132272,4321651,10.8432663900415,1.79321618257261
6/27/2021,Uttar Pradesh,1705596,212,0.707716182572614,1679913,169,98.4941920595499,22518,75,1.32024230826057,0,57085424,23.6868979253112,26154182,4325246,10.8523576763485,1.79470788381743
6/28/2021,Uttar Pradesh,1705779,183,0.707792116182573,1680174,261,98.4989262970174,22559,41,1.32250426344796,0,57348462,23.7960423236515,26594487,4410414,11.035056846473,1.83004730290456
6/29/2021,Uttar Pradesh,1705951,172,0.707863485477178,1680428,254,98.5038843436887,22577,18,1.32342605385501,0,57586240,23.8947053941909,26741158,4468894,11.0959161825726,1.85431286307054
6/30/2021,Uttar Pradesh,1706107,156,0.707928215767635,1680720,292,98.5119925069178,22591,14,1.32412562635286,0,57844027,24.0016709543568,26792830,4488619,11.117356846473,1.86249751037344
7/1/2021,Uttar Pradesh,1706252,145,0.707988381742739,1680980,260,98.5188588789933,22601,10,1.32459917995701,0,58111746,24.1127576763485,27048814,4586490,11.2235742738589,1.90310788381743
7/2/2021,Uttar Pradesh,1706384,132,0.708043153526971,1681208,228,98.5245993867734,22616,15,1.32537576536114,0,58382501,24.2251041493776,27365460,4703917,11.3549626556017,1.95183278008299
7/3/2021,Uttar Pradesh,1706495,111,0.708089211618257,1681412,204,98.5301451220191,22622,6,1.3256411533582,0,58626730,24.3264439834025,27780215,4820131,11.5270601659751,2.00005435684647
7/4/2021,Uttar Pradesh,1706621,126,0.708141493775934,1681717,305,98.5407422034535,22640,18,1.32659799686046,0,58875021,24.4294692946058,27802597,4826538,11.5363473029046,2.00271286307054
7/5/2021,Uttar Pradesh,1706739,118,0.708190456431535,1681912,195,98.5453546207124,22646,6,1.32685782653352,0,59103444,24.5242506224066,28482688,5012080,11.8185427385892,2.07970124481328
7/6/2021,Uttar Pradesh,1706818,79,0.708223236514523,1682130,218,98.5535657580363,22656,10,1.32738229852275,0,59331655,24.6189439834025,29315028,5209652,12.163912033195,2.16168132780083
7/7/2021,Uttar Pradesh,1706934,116,0.708271369294606,1682321,191,98.5580578979621,22666,10,1.32787793786989,0,59589422,24.7259012448133,29896371,5375629,12.4051331950207,2.23055145228216
7/8/2021,Uttar Pradesh,1707044,110,0.708317012448133,1682579,258,98.5668207732197,22676,10,1.32837817888701,0,59848583,24.8334369294606,30540558,5532965,12.6724307053942,2.29583609958506
7/9/2021,Uttar Pradesh,1707127,83,0.708351452282158,1682741,162,98.5715181120093,22689,13,1.32907510689011,0,60101058,24.938198340249,31128043,5689999,12.9162004149378,2.36099543568465
7/10/2021,Uttar Pradesh,1707225,98,0.708392116182573,1682924,183,98.576578951222,22693,4,1.32923311221427,0,60377016,25.0527037344398,31368938,5797454,13.016156846473,2.40558257261411
7/11/2021,Uttar Pradesh,1707350,125,0.70844398340249,1683058,134,98.5772102966586,22698,5,1.32942864673324,0,60617011,25.1522867219917,31381029,5801264,13.0211738589212,2.40716348547718
7/12/2021,Uttar Pradesh,1707446,96,0.708483817427386,1683170,112,98.5782273641451,22700,2,1.32947103451588,0,60845909,25.2472651452282,31759463,5939597,13.1782004149378,2.46456307053942
7/13/2021,Uttar Pradesh,1707502,56,0.708507053941909,1683319,149,98.5837205461546,22704,4,1.3296616929292,0,61081870,25.3451742738589,32468531,6084096,13.4724195020747,2.52452116182573
7/14/2021,Uttar Pradesh,1707585,83,0.708541493775934,1683453,134,98.5867760609282,22704,0,1.32959706251812,0,61338782,25.4517767634855,32666360,6171492,13.5545062240664,2.56078506224066
